r,g,d,w,l,td,tw,tl,l_,e,a,s,t,p
-10.9,10,9,0,1,9,0,1,0,0.9998401599999909,1519,1519,2023-04-27T19:48:20.106820,0
-1,20,10,0,0,19,0,1,0,0.9331668333333238,1594,3113,2023-04-27T19:48:20.911164,0
-1,30,10,0,0,29,0,1,0,0.8665001666666572,1661,4774,2023-04-27T19:48:21.083391,0
-1,40,10,0,0,39,0,1,693404269.2184448,0.7998334999999905,1669,6443,2023-04-27T19:48:25.024148,0
-1,50,10,0,0,49,0,1,696373267.1737671,0.7331668333333239,1705,8148,2023-04-27T19:48:28.541346,0
-1,60,10,0,0,59,0,1,675600528.717041,0.6665001666666572,1406,9554,2023-04-27T19:48:31.953256,0
-1,70,10,0,0,69,0,1,678269166.9464111,0.5998334999999905,1529,11083,2023-04-27T19:48:35.010890,0
-1,80,10,0,0,79,0,1,684021677.9708862,0.5331668333333238,1593,12676,2023-04-27T19:48:38.148088,0
10.1,90,9,1,0,88,1,1,685715436.9354248,0.46651048966665776,1519,14195,2023-04-27T19:48:42.770207,0
-1,100,10,0,0,98,1,1,675184016.2277222,0.3998334999999905,1506,15701,2023-04-27T19:48:46.907378,0
-1,110,10,0,0,108,1,1,682655515.6707764,0.33316683333332386,1643,17344,2023-04-27T19:48:50.733521,0
-1,120,10,0,0,118,1,1,678032727.2415161,0.2665001666666572,1588,18932,2023-04-27T19:48:54.183222,0
-20.8,130,8,0,2,126,1,3,668427295.6848145,0.1998381620000042,1409,20341,2023-04-27T19:48:58.311282,0
-1,140,10,0,0,136,1,3,669106044.7692871,0.13316683333333768,1549,21890,2023-04-27T19:49:02.195765,0
-1,150,10,0,0,146,1,3,662988510.1318359,0.06650016666666408,1475,23365,2023-04-27T19:49:05.678936,0
-10.9,160,9,0,1,155,1,4,666055011.7492676,0,1474,24839,2023-04-27T19:49:09.507026,0
-1,170,10,0,0,165,1,4,646141388.4162903,0,1273,26112,2023-04-27T19:49:13.580209,0
-1,180,10,0,0,175,1,4,657857117.6528931,0,1556,27668,2023-04-27T19:49:17.671241,0
