r,g,d,w,l,td,tw,tl,l_,e,a,s,t,p
-10.9,10,9,0,1,9,0,1,0,0.9998498169999914,1433,1433,2023-04-27T19:42:40.091079,0
-1,20,10,0,0,19,0,1,0,0.9331668333333238,1740,3173,2023-04-27T19:42:41.524287,0
-10.9,30,9,0,1,28,0,2,0,0.8665048286666575,1644,4817,2023-04-27T19:42:41.680537,0
0.2,40,8,1,1,36,1,3,0,0.7998534799999917,1417,6234,2023-04-27T19:42:41.868036,0
-1,50,10,0,0,46,1,3,688053970.3369141,0.7331668333333239,1565,7799,2023-04-27T19:42:45.759890,0
-1,60,10,0,0,56,1,3,694777612.6861572,0.6665001666666572,1635,9434,2023-04-27T19:42:49.180716,0
-1,70,10,0,0,66,1,3,683680949.2111206,0.5998334999999905,1550,10984,2023-04-27T19:42:52.730855,0
0.2,80,8,1,1,74,2,4,684387083.0535889,0.5331981353333256,1262,12246,2023-04-27T19:42:56.336766,0
0.2,90,8,1,1,82,3,5,681799063.6825562,0.4665098236666577,1431,13677,2023-04-27T19:43:00.060847,0
-1,100,10,0,0,92,3,5,688687729.8355103,0.3998334999999905,1715,15392,2023-04-27T19:43:03.985719,0
-1,110,10,0,0,102,3,5,683986878.3950806,0.33316683333332386,1579,16971,2023-04-27T19:43:08.932487,0
-1,120,10,0,0,112,3,5,689112825.3936768,0.2665001666666572,1680,18651,2023-04-27T19:43:13.275465,0
-1,130,10,0,0,122,3,5,680417947.769165,0.19983350000000433,1505,20156,2023-04-27T19:43:17.435389,0
-1,140,10,0,0,132,3,5,673459243.7744141,0.13316683333333768,1459,21615,2023-04-27T19:43:21.924824,0
-10.9,150,9,0,1,141,3,6,676901721.9543457,0.06651182166666426,1418,23033,2023-04-27T19:43:26.221465,0
-10.9,160,9,0,1,150,3,7,665907721.5194702,0,1234,24267,2023-04-27T19:43:30.440134,0
-10.9,170,9,0,1,159,3,8,642830576.8966675,0,977,25244,2023-04-27T19:43:34.612722,0
-1,180,10,0,0,169,3,8,647747895.7176208,0,1206,26450,2023-04-27T19:43:39.133689,0
10.1,190,9,1,0,178,4,8,653525485.9924316,0,1328,27778,2023-04-27T19:43:43.415468,0
-10.9,200,9,0,1,187,4,9,642567050.4570007,0,1161,28939,2023-04-27T19:43:47.822045,0
-1,210,10,0,0,197,4,9,638858354.0916443,0,1253,30192,2023-04-27T19:43:52.447005,0
-1,220,10,0,0,207,4,9,646325194.8356628,0,1380,31572,2023-04-27T19:43:57.870495,0
-1,230,10,0,0,217,4,9,638515067.1005249,0,1326,32898,2023-04-27T19:44:02.600732,0
-10.9,240,9,0,1,226,4,10,640405139.9230957,0,1383,34281,2023-04-27T19:44:07.442775,0
10.1,250,9,1,0,235,5,10,620769321.9184875,0,1105,35386,2023-04-27T19:44:12.304890,0
